Div,Date,Time,HomeTeam,AwayTeam,FTHomeGoals,FTAwayGoals,FTResult,HomeShots,AwayShots,HomeYellow,AwayYellow,HomeRed,AwayRed
SP1,3/2/2024,17:30,Alaves,Barcelona,1,3,A,13,8,2,2,0,1
SP1,3/2/2024,20:00,Girona,Sociedad,0,0,D,11,11,2,3,0,0
SP1,4/2/2024,13:00,Villarreal,Cadiz,0,0,D,19,8,3,1,0,0
SP1,4/2/2024,15:15,Osasuna,Celta,0,3,A,18,6,2,0,0,0
SP1,4/2/2024,17:30,Betis,Getafe,1,1,D,9,11,7,4,0,0
SP1,4/2/2024,20:00,Real Madrid,Ath Madrid,1,1,D,17,10,0,5,0,0
SP1,5/2/2024,20:00,Vallecano,Sevilla,1,2,A,22,10,2,2,0,0
SP1,9/2/2024,20:00,Cadiz,Betis,0,2,A,14,13,1,1,0,0
SP1,10/2/2024,13:00,Alaves,Villarreal,1,1,D,17,12,0,2,0,0
SP1,10/2/2024,15:15,Sociedad,Osasuna,0,1,A,21,9,0,0,0,0
SP1,10/2/2024,17:30,Real Madrid,Girona,4,0,H,16,5,1,2,0,0
SP1,10/2/2024,20:00,Las Palmas,Valencia,2,0,H,8,7,2,0,0,0
SP1,11/2/2024,13:00,Getafe,Celta,3,2,H,11,9,1,2,0,0
SP1,11/2/2024,15:15,Mallorca,Vallecano,2,1,H,8,11,4,0,0,0
SP1,11/2/2024,17:30,Sevilla,Ath Madrid,1,0,H,10,16,2,1,0,0
SP1,11/2/2024,20:00,Barcelona,Granada,3,3,D,11,11,1,2,0,0
SP1,12/2/2024,20:00,Almeria,Ath Bilbao,0,0,D,10,12,4,1,1,0
SP1,16/02/2024,20:00,Villarreal,Getafe,1,1,D,20,11,0,1,0,0
SP1,17/02/2024,13:00,Ath Madrid,Las Palmas,5,0,H,13,11,2,2,0,0
SP1,17/02/2024,15:15,Osasuna,Cadiz,2,0,H,11,5,4,2,0,0
SP1,17/02/2024,17:30,Celta,Barcelona,1,2,A,13,14,2,4,0,0
SP1,17/02/2024,20:00,Valencia,Sevilla,0,0,D,14,1,0,1,0,0
SP1,18/02/2024,13:00,Vallecano,Real Madrid,1,1,D,8,11,4,3,0,1
SP1,18/02/2024,15:15,Granada,Almeria,1,1,D,19,13,2,3,0,0
SP1,18/02/2024,17:30,Mallorca,Sociedad,1,2,A,4,19,7,5,1,0
SP1,18/02/2024,20:00,Betis,Alaves,0,0,D,13,13,5,2,0,0
SP1,19/02/2024,20:00,Ath Bilbao,Girona,3,2,H,14,12,1,2,0,0
SP1,23/02/2024,20:00,Sociedad,Villarreal,1,3,A,21,6,3,4,0,0
SP1,24/02/2024,15:15,Barcelona,Getafe,4,0,H,17,10,1,4,0,0
SP1,24/02/2024,17:30,Alaves,Mallorca,1,1,D,9,15,0,2,0,0
SP1,24/02/2024,20:00,Almeria,Ath Madrid,2,2,D,9,18,1,1,0,0
SP1,25/02/2024,13:00,Cadiz,Celta,2,2,D,19,7,2,3,0,0
SP1,25/02/2024,15:15,Betis,Ath Bilbao,3,1,H,13,3,1,6,0,1
SP1,25/02/2024,17:30,Las Palmas,Osasuna,1,1,D,9,6,2,1,0,0
SP1,25/02/2024,20:00,Real Madrid,Sevilla,1,0,H,16,4,1,3,0,0
